"","newcase.date","region","newcases","cases.per10k"
"1",2020-02-27,"BOGOTÁ, D.C.",1,0.000196529678929464
"2",2020-02-28,"BOGOTÁ, D.C.",1,0.000196529678929464
"3",2020-02-29,"ANTIOQUIA",1,0.000196529678929464
"4",2020-02-29,"MAGDALENA",1,0.000196529678929464
"5",2020-03-01,"BOGOTÁ, D.C.",3,0.000589589036788391
"6",2020-03-01,"BOLÍVAR",1,0.000196529678929464
"7",2020-03-01,"VALLE DEL CAUCA",1,0.000196529678929464
"8",2020-03-02,"ANTIOQUIA",1,0.000196529678929464
"9",2020-03-02,"BOLÍVAR",2,0.000393059357858927
"10",2020-03-02,"VALLE DEL CAUCA",1,0.000196529678929464
"11",2020-03-03,"ATLÁNTICO",1,0.000196529678929464
"12",2020-03-03,"TOLIMA",1,0.000196529678929464
"13",2020-03-04,"BOGOTÁ, D.C.",1,0.000196529678929464
"14",2020-03-04,"RISARALDA",1,0.000196529678929464
"15",2020-03-04,"VALLE DEL CAUCA",1,0.000196529678929464
"16",2020-03-05,"ANTIOQUIA",1,0.000196529678929464
"17",2020-03-05,"BOGOTÁ, D.C.",5,0.000982648394647318
"18",2020-03-05,"HUILA",1,0.000196529678929464
"19",2020-03-05,"VALLE DEL CAUCA",1,0.000196529678929464
"20",2020-03-06,"ANTIOQUIA",2,0.000393059357858927
"21",2020-03-06,"ATLÁNTICO",2,0.000393059357858927
"22",2020-03-06,"BOGOTÁ, D.C.",6,0.00117917807357678
"23",2020-03-06,"BOLÍVAR",3,0.000589589036788391
"24",2020-03-06,"HUILA",2,0.000393059357858927
"25",2020-03-07,"ANTIOQUIA",1,0.000196529678929464
"26",2020-03-07,"BOGOTÁ, D.C.",10,0.00196529678929464
"27",2020-03-07,"VALLE DEL CAUCA",3,0.000589589036788391
"28",2020-03-08,"ANTIOQUIA",2,0.000393059357858927
"29",2020-03-08,"BOGOTÁ, D.C.",5,0.000982648394647318
"30",2020-03-08,"CUNDINAMARCA",1,0.000196529678929464
"31",2020-03-08,"HUILA",1,0.000196529678929464
"32",2020-03-08,"QUINDÍO",1,0.000196529678929464
