"location.country","location.geometry.latitude","location.geometry.longitude"
"Estonia",58.7783968568071,25.7615268448868
"Taiwan",23.7779779950014,120.930229378541
"Singapore",1.35346,103.8151
"United Arab Emirates",23.92122,54.33112
"South Korea",36.37819,127.7975
"Malaysia",3.797529,109.7073
"Kuwait",29.35656,47.61266
"Oman",20.63108,56.11048
"Algeria",28.42343,2.674582
"San Marino",43.93907,12.461
"United Kingdom",54.37002,-2.95214
"Georgia",42.18516,43.5106
"Bahrain",26.03915,50.56053
"Israel",31.47109,35.01527
"Mexico",24.19596,-102.729
"Ecuador",-1.42946,-78.7752
"Iceland",65.01142,-18.5786
"Saudi Arabia",24.24738,44.49015
"Qatar",25.28442,51.19044
"Norway",65.40431,15.06712
"Tunisia",34.16168,9.577214
"Jordan",31.26617,36.79576
"Andorra",42.54387,1.575166
"Lebanon",33.9225,35.89294
"Ireland",53.20707,-8.14957
"Gibraltar",36.13651,-5.34924
"Liechtenstein",47.14255,9.553795
"Iraq",33.07145,43.74096
"Greece",39.09918,22.98166
"Armenia",40.30137,44.93448
"Azerbaijan",40.29991,47.52963
"Sri Lanka",7.624702,80.69758
"Russia",64.84265,97.88585
"Vietnam",16.81287,106.2843
"Malta",35.92304,14.39969
"Paraguay",-23.2927,-58.3708
"Luxembourg",49.77743,6.094018
"Mongolia",46.97424,103.0283
"Panama",8.514317,-80.1092
"Kenya",0.553785,37.84561
"Virgin Islands, U.S.",17.97247,-64.8028
"Reunion",-21.1335,55.53273
"Saint Vincent and the Grenadines",13.20063,-61.2007
"Egypt",26.66796,29.77867
"Australia",-26.2348,134.6053
"Portugal",39.64485,-8.49677
"Belgium",50.64709,4.658573
"Burkina Faso",12.28251,-1.74231
"Cameroon",5.712146,12.74452
"Namibia",-22.2558,17.22793
"Central African Republic",6.582686,20.48899
"Chad",15.47389,18.67142
"Cote d'Ivoire",7.633406,-5.55458
"Djibouti",11.74293,42.57186
"Eswatini",-26.5675,31.49822
"Eritrea",15.39192,38.85156
"Guinea-Bissau",12.01554,-14.9821
"Guinea",10.4429,-10.9401
"Madagascar",-19.4721,46.6794
"Mauritius",-20.1288,57.89526
"Mali",17.45657,-3.4987
"Mozambique",-17.4013,35.51593
"Senegal",14.3676,-14.4724
"Uganda",1.28154,32.39133
"Seychelles",-6.78841,51.73363
"Togo",8.537387,0.97609
"Ghana",7.977254,-1.2106
"Nigeria",9.615492,8.102438
"Rwanda",-2.00007,29.92595
"Benin",9.664529,2.340332
"Kazakhstan",48.4384,67.28734
"Poland",52.19262,19.3788
"Netherlands",52.27628,5.580141
"Guatemala",15.70603,-90.3534
"Uruguay",-32.8153,-56.0142
"Chile",-40.6773,-71.5353
"Turkey",39.10205,35.17355
"Belarus",53.59231,28.06518
"Ukraine",49.09008,31.36637
"Slovenia",46.12751,14.82009
"Moldova",47.21862,28.46404
"Albania",41.15303,20.06189
"Croatia",45.04604,16.39169
"Hungary",47.17926,19.4225
"Montenegro",42.78009,19.2372
"Serbia",44.24848,20.7733
"Slovakia",48.71454,19.48865
"Bosnia and Herzegovina",44.18521,17.78557
"North Macedonia",41.59584,21.69269
"China",NA,NA
"Thailand",NA,NA
"Switzerland",NA,NA
"Germany",NA,NA
"",NA,NA
"Colombia",NA,NA
"Iran",NA,NA
"United States",NA,NA
"Canada",NA,NA
"Finland",NA,NA
"Pakistan",NA,NA
"Austria",NA,NA
"Afghanistan",NA,NA
"Romania",NA,NA
"Sweden",NA,NA
"Lithuania",NA,NA
"Cambodia",NA,NA
"Nepal",NA,NA
"Morocco",NA,NA
"New Zealand",NA,NA
"Bhutan",NA,NA
"Bulgaria",NA,NA
"Maldives",NA,NA
"Democratic Republic of the Congo",NA,NA
"Ethiopia",NA,NA
"Kosovo",NA,NA
"Angola",NA,NA
"Cabo Verde",NA,NA
"Equatorial Guinea",NA,NA
"Gabon",NA,NA
"Liberia",NA,NA
"Mauritania",NA,NA
"Republic of Congo",NA,NA
"Sudan",NA,NA
"Tanzania",NA,NA
"Somalia",NA,NA
"Zambia",NA,NA
"Algiers",NA,NA
"Gambia",NA,NA
"Denmark",NA,NA
"Bahamas",NA,NA
