"newcase.date","new.cases","mortalities","newcase.rate","mortality.rate"
2020-02-01,33,0,9.67432014888345e-05,0
2020-02-02,36,0,0.000112626413673569,0
2020-02-03,41,0,0.000132841410999594,0
2020-02-04,24,0,0.000147280694803897,0
2020-02-05,22,0,0.000135730076196554,0
2020-02-06,28,0,0.000127067279958819,0
2020-02-07,20,0,0.000119126456523987,0
2020-02-08,17,0,0.000116961027610925,0
2020-02-09,24,0,0.000119849430128594,0
2020-02-10,30,0,0.000114796118663809,0
2020-02-11,21,0,0.000116240514620584,0.0062111801242236
2020-02-12,26,0,0.00011624087130114,0.0062111801242236
2020-02-13,21,0,0.000119129359322306,0.00606060606060606
2020-02-14,22,1,0.00011191000414067,0.00645161290322581
2020-02-15,17,0,0.00011263243110063,0.00641025641025641
2020-02-16,28,0,0.00026208823312279,0.00275482093663912
2020-02-17,20,0,0.000312629848786068,0.0023094688221709
2020-02-18,22,0,0.000345121619270205,0
2020-02-19,233,0,0.000695299454392092,0
2020-02-20,91,0,0.00093501281852033,0
2020-02-21,67,0,0.00112635155417561,0
2020-02-22,502,0,0.00137473197148947,0
2020-02-23,360,0,0.00189178007118003,0.000381679389312977
2020-02-24,285,0,0.00288537303248482,0.00025025025025025
2020-02-25,366,0,0.00408477293839734,0.000176772140710624
2020-02-26,949,1,0.00539799274105377,0.000133779264214047
2020-02-27,1467,0,0.00685282707101404,0.000210770365686584
2020-02-28,1728,0,0.00767795905389431,0.000188129056532781
2020-02-29,2320,0,0.009012501613825,0.000160282096489822
2020-03-01,2374,1,0.00970465598099812,0.000223313979455114
2020-03-02,1427,0,0.0102311030518624,0.000282505826682675
2020-03-03,2213,0,0.00990035853291533,0.000584069504271008
2020-03-04,1905,2,0.00925153765957574,0.000937939659215257
2020-03-05,2192,1,0.00881566694343732,0.000984736582964057
2020-03-06,1266,4,0.0096993027992952,0.00141748731721874
2020-03-07,1417,4,0.0106276106860296,0.0015666507731081
2020-03-08,1766,1,0.0122149963919125,0.00183779938344795
2020-03-09,2645,7,0.0143975108258429,0.00216363087450941
2020-03-10,3490,4,0.0182049923880176,0.00218914185639229
2020-03-11,4092,10,0.0224859376820473,0.00228855079938112
2020-03-12,5198,13,0.0263306858488605,0.00234050169342181
2020-03-13,6516,16,0.0308065260219759,0.00270779373675536
2020-03-14,7317,20,0.0363474305407113,0.00309523334065539
2020-03-15,7059,15,0.0426771535150687,0.00352316438029751
2020-03-16,8798,37,0.049890614355439,0.00375983678227922
2020-03-17,11097,44,0.0568096784055671,0.00429245041258777
2020-03-18,12769,62,0.0614409810264691,0.0048283389090564
2020-03-19,15064,64,0.069549681576078,0.00493200134318334
2020-03-20,15940,93,0.0790614527263244,0.00520549211779391
2020-03-21,13567,92,0.0868150721618561,0.00575425452029598
2020-03-22,18061,78,0.0941322447541152,0.0065361516262382
2020-03-23,21657,130,0.105340385524357,0.0072547333990313
2020-03-24,21463,163,0.112492422111117,0.00794249893334209
2020-03-25,22458,218,0.118855358619741,0.00852646067800622
2020-03-26,29933,264,0.117339913039732,0.00920358015470117
2020-03-27,25206,265,0.112024499090289,0.0105912035095427
2020-03-28,21781,251,0.107577071269304,0.012569774078147
2020-03-29,15484,163,0.103106278912831,0.0143150924683507
2020-03-30,13894,267,0.0936374100485507,0.0170712405316795
2020-03-31,14922,378,0.0881085852249621,0.0193244629937827
2020-04-01,15908,375,0.0824551063809497,0.0207907325332865
2020-04-02,16639,415,0.0829472635498729,0.0209315412219444
2020-04-03,17339,392,0.0849996892725371,0.020742318662671
2020-04-04,13891,257,0.0870587556384831,0.0198944735609428
2020-04-05,15808,185,0.0899886585131963,0.018997058243351
2020-04-06,16281,296,0.0925037692821843,0.0178202241548158
2020-04-07,17281,331,0.0952531520186204,0.0158715918081054
2020-04-08,19358,339,0.0995942840261093,0.0148454059803991
2020-04-09,19513,329,0.101602148048521,0.0145585147700093
2020-04-10,20477,209,0.10235118711668,0.0135100981090458
